id,price_doc
30474,5462083.946103526
30475,8498031.90284103
30476,5775600.733224301
30477,6793629.258384149
30478,4649845.322070667
30479,6108388.62411995
30480,4964867.778671131
30481,5633642.102087816
30482,5618377.602222845
30483,5637452.605972876
30484,4347810.542887107
30485,4990535.32461223
30486,4195428.326418099
30487,3982381.464918048
30488,8128203.821112107
30489,8301927.31857901
30490,18398424.128669832
30491,12313704.331600564
30492,5594120.407653158
30493,11501192.380200468
30494,6528044.325741562
30495,6991543.774736795
30496,11373510.414394053
30497,8892621.286259336
30498,4634430.2173373755
30499,7590971.731688447
30500,9042174.796964474
30501,5864388.42969421
30502,4023837.0915594827
30503,5923808.047143802
30504,4886114.285060174
30505,11590336.17448332
30506,6874575.761869776
30507,4964867.778671131
30508,6547765.717326721
30509,7202185.3421621155
30510,9527133.70316833
30511,5760583.335954501
30512,5291322.787396112
30513,4527794.812512581
30514,5594093.732871978
30515,6639831.756316992
30516,7690852.417918469
30517,8625577.716874855
30518,5031504.442887425
30519,4265042.060784786
30520,4359747.786593943
30521,5923808.047143802
30522,8068296.062093735
30523,5374013.451845457
30524,8963358.507058552
30525,5914121.632998575
30526,4649845.322070667
30527,6042701.650295171
30528,6648043.409083273
30529,5525952.783094131
30530,5655130.638135363
30531,12840054.992991187
30532,4693819.862049901
30533,7683858.421713489
30534,6750970.554598137
30535,9468511.616538625
30536,5838105.806794399
30537,8588558.162197143
30538,3741989.6549711414
30539,9364110.115204781
30540,9527133.70316833
30541,5337254.697952613
30542,4687521.355099017
30543,5144053.650078965
30544,7094888.673484007
30545,5664122.772332047
30546,4395203.200526994
30547,7766918.8699603025
30548,5039793.32992613
30549,5649529.927568477
30550,10713851.10805139
30551,5851896.439109119
30552,2542261.8125931486
30553,5530122.893532239
30554,8829866.348552901
30555,7298481.566421095
30556,6812626.016634828
30557,7576947.670799793
30558,9777462.90246426
30559,5372050.912837357
30560,4641038.01075841
30561,5905577.34982942
30562,7544536.587743382
30563,5145348.9316166025
30564,6196480.545654321
30565,6818787.982763761
30566,9579136.76375696
30567,3207287.2694347883
30568,6860154.363410654
30569,9086641.982219137
30570,5953467.873757494
30571,5594099.067818038
30572,4964867.778671131
30573,5839987.976357944
30574,5829732.501645475
30575,5210381.498108664
30576,5720542.074856292
30577,5297477.680468536
30578,4601264.420420634
30579,5901726.31975453
30580,4563633.152164187
30581,4873790.803052835
30582,10807544.41198744
30583,6595452.441099063
30584,4301191.427328522
30585,2695631.9142344315
30586,7361963.215336153
30587,7101339.805690635
30588,6648043.409083273
30589,7167842.3657115
30590,10040610.867906416
30591,5474662.634305605
30592,6082033.220920802
30593,7519388.790275402
30594,6921559.297480825
30595,4662980.908676883
30596,8842970.432643326
30597,6001769.65465262
30598,9527133.70316833
30599,11696556.836399784
30600,6556013.56315097
30601,5241140.645958906
30602,3066564.7982917065
30603,12275925.608203845
30604,4593490.879321853
30605,5634308.351293688
30606,17224022.826710373
30607,5531267.456109155
30608,9484182.375688795
30609,8301927.31857901
30610,3396330.3587428774
30611,6547765.717326721
30612,6152218.245505523
30613,5276472.517951954
30614,22436484.392640542
30615,7000464.116235993
30616,6547765.717326721
30617,8650810.766408784
30618,5552995.660505108
30619,4964867.778671131
30620,3529927.705277495
30621,6221628.764831609
30622,5506315.001882024
30623,5783642.560065655
30624,8698495.029063987
30625,7312624.812444884
30626,5694616.292738496
30627,6996132.627151523
30628,6001769.65465262
30629,4980023.498387967
30630,5295073.441649632
30631,6547765.717326721
30632,4361560.955385102
30633,5912266.316071941
30634,10713851.10805139
30635,9527133.70316833
30636,5018871.702119844
30637,6660830.929272221
30638,5154651.163823356
30639,5995774.17845897
30640,6012488.320112631
30641,9955123.18784065
30642,5818795.790587851
30643,6560216.4565376
30644,9527133.70316833
30645,6641041.323745237
30646,5504498.375622197
30647,5173626.808054127
30648,22658392.663830858
30649,3730124.9352591187
30650,4641038.01075841
30651,5633529.277362207
30652,5264760.890118189
30653,6169062.561065677
30654,6547765.717326721
30655,7406723.674499742
30656,4876547.851978394
30657,5655540.532605864
30658,7397596.065724316
30659,5418414.881158543
30660,8963358.507058552
30661,4442625.193996622
30662,7671586.673885388
30663,27835820.57212524
30664,6969501.98467956
30665,7893354.1408275515
30666,6441200.651507904
30667,5549300.457484915
30668,7041925.213027357
30669,6547765.717326721
30670,4833607.999093998
30671,6379559.5643725535
30672,8579054.036732353
30673,9111077.381718108
30674,8693170.927999474
30675,4617344.149476786
30676,6698810.994890901
30677,4297329.138935181
30678,16139170.027271848
30679,5647337.513765901
30680,4996483.288695516
30681,3299693.9715907592
30682,7248739.005010655
30683,9426705.555453796
30684,4551962.390741332
30685,6310727.832792668
30686,6874575.761869776
30687,4807147.328469946
30688,4175645.799383232
30689,6859081.501416271
30690,23257166.30901119
30691,4678598.062493419
30692,4989255.224913639
30693,9616793.526792157
30694,4782185.832359918
30695,6237223.471386117
30696,4933998.116818543
30697,7406589.467275046
30698,7294563.927444201
30699,5498543.418033775
30700,4613743.53810217
30701,9527133.70316833
30702,5159431.5935310135
30703,4535344.718813478
30704,6731593.599383715
30705,6514803.409828127
30706,16430011.808685297
30707,5461130.773282208
30708,10962213.18676357
30709,3557857.5617058007
30710,8191711.931231434
30711,5715149.09536367
30712,4863738.2446788885
30713,4658904.824219354
30714,5612470.722530785
30715,6363111.356981586
30716,9426705.555453796
30717,4933273.534226756
30718,9507419.8076361
30719,13956582.126716824
30720,6006711.26997329
30721,2461580.8311177115
30722,9908805.878891662
30723,7698909.991991327
30724,8211500.724741194
30725,7056836.407645121
30726,9341597.115548912
30727,6647941.968765146
30728,9727759.455757825
30729,4399153.454686948
30730,5953467.873757494
30731,6666989.117475187
30732,4677643.322136325
30733,8741847.307460677
30734,4653718.198468887
30735,6058408.28612779
30736,4353150.2298094975
30737,5604233.969962755
30738,4856331.691052306
30739,4399153.454686948
30740,7718038.256780369
30741,9941556.099250574
30742,4928256.133843811
30743,4535344.718813478
30744,7692671.60600791
30745,6836335.846944966
30746,6058408.28612779
30747,14182045.699568955
30748,18081323.106905114
30749,5051153.839895066
30750,6540158.172701849
30751,4174793.694220884
30752,6648728.171718245
30753,7034743.075651571
30754,5310057.086538604
30755,8809503.06807212
30756,10830883.733831879
30757,5463485.360081743
30758,10644982.50321927
30759,5317861.476322892
30760,5948848.044259813
30761,6871187.090352102
30762,9051976.162568677
30763,8777150.033515746
30764,8806915.817849984
30765,4945238.04950921
30766,5865417.57984652
30767,7472137.251526624
30768,4554480.919195684
30769,7469045.213802424
30770,7893354.1408275515
30771,3749194.52797895
30772,9207651.20514675
30773,9300865.86219056
30774,5619186.733946167
30775,8394142.192206003
30776,5431970.405345945
30777,8362836.037802171
30778,7999715.483297224
30779,6158699.05922285
30780,5556105.135639499
30781,4169374.5564761665
30782,8462463.59408488
30783,7450434.5747627225
30784,4683897.28772552
30785,5173829.104164446
30786,4613743.53810217
30787,6528044.325741562
30788,5245030.798417795
30789,8004607.246293038
30790,5070241.665559254
30791,7441473.094998406
30792,4932878.352209421
30793,7736601.631851437
30794,9047143.176409865
30795,9016101.140148265
30796,12313704.331600564
30797,10359156.241997523
30798,4196396.697640981
30799,8807873.347853968
30800,16363990.7992608
30801,7298481.566421095
30802,14624419.78665543
30803,2968604.693137233
30804,4356717.818727838
30805,10597375.598272016
30806,4653718.198468887
30807,5684778.742546928
30808,6678596.45062899
30809,6312714.210432381
30810,9329969.411533153
30811,4580254.007239332
30812,5259832.706487961
30813,4857679.603491925
30814,3499833.173452211
30815,3982381.464918048
30816,7499343.792326859
30817,2939755.507368068
30818,6545443.199137367
30819,7575054.710917363
30820,5984600.164644038
30821,24340548.74028478
30822,5943188.820753187
30823,5425488.501823061
30824,4400252.77625282
30825,5387545.239389939
30826,7391679.374215013
30827,7451749.169024583
30828,5387961.430510005
30829,5295002.745263955
30830,8801718.414765488
30831,3767035.7354734014
30832,5739372.77049245
